NM_MUNICIP,CD_GEOCMU,CONT
PEDRO AFONSO,1716505,405
PEIXE,1716604,406
PEQUIZEIRO,1716653,407
COLMÉIA,1716703,408
PINDORAMA DO TOCANTINS,1717008,409
PIRAQUÊ,1717206,410
PIUM,1717503,411
PONTE ALTA DO BOM JESUS,1717800,412
PONTE ALTA DO TOCANTINS,1717909,413
PORTO ALEGRE DO TOCANTINS,1718006,414
PORTO NACIONAL,1718204,415
PRAIA NORTE,1718303,416
PRESIDENTE KENNEDY,1718402,417
PUGMIL,1718451,418
RECURSOLÂNDIA,1718501,419
RIACHINHO,1718550,420
RIO DA CONCEIÇÃO,1718659,421
RIO DOS BOIS,1718709,422
RIO SONO,1718758,423
SAMPAIO,1718808,424
SANDOLÂNDIA,1718840,425
SANTA FÉ DO ARAGUAIA,1718865,426
SANTA MARIA DO TOCANTINS,1718881,427
SANTA RITA DO TOCANTINS,1718899,428
SANTA ROSA DO TOCANTINS,1718907,429
SANTA TEREZA DO TOCANTINS,1719004,430
SANTA TEREZINHA DO TOCANTINS,1720002,431
SÃO BENTO DO TOCANTINS,1720101,432
SÃO FÉLIX DO TOCANTINS,1720150,433
SÃO MIGUEL DO TOCANTINS,1720200,434
SÃO SALVADOR DO TOCANTINS,1720259,435
SÃO SEBASTIÃO DO TOCANTINS,1720309,436
SÃO VALÉRIO,1720499,437
SILVANÓPOLIS,1720655,438
SÍTIO NOVO DO TOCANTINS,1720804,439
SUCUPIRA,1720853,440
TAGUATINGA,1720903,441
TAIPAS DO TOCANTINS,1720937,442
TALISMÃ,1720978,443
PALMAS,1721000,444
TOCANTÍNIA,1721109,445
TOCANTINÓPOLIS,1721208,446
TUPIRAMA,1721257,447
TUPIRATINS,1721307,448
WANDERLÂNDIA,1722081,449
XAMBIOÁ,1722107,450
AÇAILÂNDIA,2100055,451
AFONSO CUNHA,2100105,452
ÁGUA DOCE DO MARANHÃO,2100154,453
ALCÂNTARA,2100204,454
ALDEIAS ALTAS,2100303,455
ALTAMIRA DO MARANHÃO,2100402,456
ALTO ALEGRE DO MARANHÃO,2100436,457
ALTO ALEGRE DO PINDARÉ,2100477,458
ALTO PARNAÍBA,2100501,459
AMAPÁ DO MARANHÃO,2100550,460
AMARANTE DO MARANHÃO,2100600,461
ANAJATUBA,2100709,462
ANAPURUS,2100808,463
APICUM-AÇU,2100832,464
ARAGUANÃ,2100873,465
ARAIOSES,2100907,466
ARAME,2100956,467
ARARI,2101004,468
AXIXÁ,2101103,469
BACABAL,2101202,470
BACABEIRA,2101251,471
BACURI,2101301,472
BACURITUBA,2101350,473
BALSAS,2101400,474
BARÃO DE GRAJAÚ,2101509,475
BARRA DO CORDA,2101608,476
BARREIRINHAS,2101707,477
BELÁGUA,2101731,478
BELA VISTA DO MARANHÃO,2101772,479
BENEDITO LEITE,2101806,480
BEQUIMÃO,2101905,481
BERNARDO DO MEARIM,2101939,482
BOA VISTA DO GURUPI,2101970,483
BOM JARDIM,2102002,484
BOM JESUS DAS SELVAS,2102036,485
BOM LUGAR,2102077,486
BREJO,2102101,487
BREJO DE AREIA,2102150,488
BURITI,2102200,489
BURITI BRAVO,2102309,490
BURITICUPU,2102325,491
BURITIRANA,2102358,492
CACHOEIRA GRANDE,2102374,493
CAJAPIÓ,2102408,494
CAJARI,2102507,495
CAMPESTRE DO MARANHÃO,2102556,496
CÂNDIDO MENDES,2102606,497
CANTANHEDE,2102705,498
CAPINZAL DO NORTE,2102754,499
CAROLINA,2102804,500
CARUTAPERA,2102903,501
CAXIAS,2103000,502
CEDRAL,2103109,503
CENTRAL DO MARANHÃO,2103125,504
CENTRO DO GUILHERME,2103158,505
CENTRO NOVO DO MARANHÃO,2103174,506
CHAPADINHA,2103208,507
CIDELÂNDIA,2103257,508
CODÓ,2103307,509
COELHO NETO,2103406,510
COLINAS,2103505,511
